0,1003, generated, node, -
0,1002, generated, node, -
0,1004, generated, node, -
0,1001, generated, node, -
0,1000, generated, node, -
0, 1000,Appended, Transaction, 2301
0, 1000, broadcasting, data, 2301
2,1002,received,transaction,2301 
2, 1002, broadcasting, data, 2301
3,1004,received,transaction,2301 
3, 1004, broadcasting, data, 2301
5,1003,received,transaction,2301 
5, 1003, broadcasting, data, 2301
5, 1003,Appended, Transaction, 2302
5, 1003, broadcasting, data, 2302
6,1001,received,transaction,2301 
6, 1001, broadcasting, data, 2301
8,1002,received,transaction,2302 
8, 1002, broadcasting, data, 2302
9,1004,received,transaction,2302 
9, 1004, broadcasting, data, 2302
9, 1003,Appended, Transaction, 2303
9, 1003, broadcasting, data, 2303
Simulation ended
